"codiceCorrispondenteAcq","codiceEsercenteAccettazione","insegnaPuntoVendita","co_sicc"
"449215","174030076999","TUNECORE, INC.","7299"
"449215","174030076999","PAYPAL *KIVA.ORG/HE","8398"
"449215","174030076999","EVERLANE INC*142833646","5699"
"00000001297","174030076999","HEROKU *FEB-24244825","7372"
"00000001297","174030076999","ACTIVECAMPAIGN, INC.","5045"
"449215","174030076999","VIRTUALMIN, INC.","5045"
"00000001297","174030076999","DJ POOL*RECORD POOL","5733"
"00000001297","174030076999","GALLERYMANAGER LLC","5045"
"449215","174030076999","E3 SOFTWARE","5734"
"449215","174030076999","PAYPAL *FABRIC COM","5949"
"00000001297","174030076999","EVERLANE INC*833816144","5699"
"449215","174030076999","HEROKU *FEB-24209858","7372"
"00000001297","174030076999","HEROKU *FEB-24095353","7372"
"449215","174030076999","COLLOBOS SOFTWARE, INC.","5045"
"449215","174030076999","PAYPAL *TACKLEWAREH","5941"
"449215","174030076999","POSIT SCIENCE CORPORATION","5734"
"449215","174030076999","COURSRA*GWBBT79Y6AH8OS","8299"
"449215","174030076999","FONTSPRING  *46071565","5045"
"449215","174030076999","PAYPAL *DICKBLICKCO","5970"
"00000001297","174030076999","SKYROAM, INC.","4816"
"449215","174030076999","HEROKU *FEB-24635808","7372"
"449215","174030076999","WEMOD","5045"
"00000001297","174030076999","HERO FORGE","5999"
"00000002950","174030076999","350.ORG               7700 EASTPORT PARKWAY                           6468010759   11201     NY USA","8398"
"00000001297","174030076999","TRANSFORM MANAGEMENT L","8299"
"449215","174030076999","HEROKU *FEB-24327531","7372"
"00000001297","174030076999","TEEPUBLIC","5999"
"00000001297","174030076999","JIMMY LION","5999"
"449215","174030076999","PAYPAL *VONLICHTVIN","5533"
"449215","174030076999","THREADLESS","5691"
"449215","174030076999","DATACAMP INC.","7299"
"00000001297","174030076999","BEHAVIOR ANALYST CERTI","8398"
"00000001297","174030076999","SUBMITHUB, INC.","7299"
"449215","174030076999","M3SERVER, INC","7372"
"00000001297","174030076999","VIRB.COM","7372"
"449215","174030076999","SFR BEATS","5733"
"449215","174030076999","DCU*WEBMONTHLYSUB","5045"
"449215","174030076999","COURSRA*1X4WYUOIQP9JYP","8299"
"00000001297","174030076999","HEROKU *FEB-24622812","7372"
"449215","174030076999","MIAMI TOUR COMPANY","4722"
"449215","174030076999","HARVEST","5045"
"00000001297","174030076999","MYATTENDANCETRACKER.CO","7299"
"449215","174030076999","HEROKU *FEB-24246269","7372"
"449215","174030076999","ADRIVE LLC","7372"
"00000001297","174030076999","REZDY","5969"
"449215","174030076999","BRAINPICKINGS.ORG","7299"
"449215","174030076999","SOMOS NEXT LLC","5815"
"449215","174030076999","PAYPAL *GLOBALSHIP","7399"
"449215","174030076999","HEROKU *FEB-24167826","7372"
"449215","174030076999","LWN.NET","7372"
"449215","174030076999","PAYPAL *RUSSIANBALL","7911"
