"valoreEuro","totTrans","codiceCorrispondenteAcq","codiceEsercenteAccettazione","insegnaPuntoVendita","idCarta","mese","anno"
"121.52","1","466259","75165888100014","CIAMANIMALI","7E21D2E13AD8891BD484ED3CC342F33F","03","2019"
"13.5","1","466259","75165888100014","PUNTO RIGENERA","3509E8AA7BBB546CED44F84DC3EDE465","01","2019"
"114.56","1","466259","75165888100014","PUNTO RIGENERA","7AFB813F7F00ED57969415831CADE6B7","02","2019"
"262.18","4","466259","75165888100014","PUNTO RIGENERA","79B29CD5F122B91D40C7F286D18D32F8","01","2019"
"114.03","1","466259","75165888100014","PUNTO RIGENERA","8E88D660646BD2C9F51B989777E88163","03","2019"
"154.2","1","00000012916","75165888100014","PAYPLUG.COM","20C6738DEEAEFBA7C40304967C194F08","01","2019"
"19.98","1","466259","75165888100014","PAYPLUG.COM","344DD8AB74536C500A83FFCE2BA98CB7","02","2019"
"91.99","1","00000013239","75165888100014","PAYPLUG","081DA91FBB3426FA994BFC591435A56D","02","2019"
"136.5","1","466259","75165888100014","PAYPLUG.COM","423B5938699F4C6F94915BD4F883A9AA","03","2019"
"128.34","1","497400","75165888100014","PAYPLUG         4405771","19DAF3F70A3E34A4EFE679A169B7A1BF","02","2019"
"33.24","1","466259","75165888100014","PAYPLUG.COM","77E7E6DBFD9C199427CCF76227C005A3","02","2019"
"119.97","1","466259","75165888100014","PAYPLUG.COM","130D15055BCDE5AA17EEF7904DFF3A0E","03","2019"
"118.2","1","497400","75165888100014","PAYPLUG         4405771","874D39BA21C2BB3359401A0407156B88","02","2019"
"70.0","1","466259","75165888100014","PAYPLUG.COM","4E92C44E254ED512702F09B9CC1753BB","03","2019"
"51.15","1","466259","75165888100014","PAYPLUG.COM","91BFC08088D07EF2B7E8B9E4C6E38BDB","03","2019"
"23.92","1","00000012916","75165888100014","PAYPLUG.COM","C4CA917BCF721439934B0C8990E16962","03","2019"
"180.75","2","00000012916","75165888100014","PAYPLUG.COM","0F48A883DD4B367A056D0F8F36210D67","03","2019"
"107.4","1","466259","75165888100014","PAYPLUG.COM","0301E240CEE05AA6BD5DB6AEF45FABB9","03","2019"
"94.46","1","00000012916","75165888100014","PAYPLUG.COM","E06B46951F89673FD8C86E8536376E6C","03","2019"
"0.0","2","497400","75165888100014","PAYPLUG         4405771","C9D4B7CB88C378B9D0BC7CF6E7C0FAD9","01","2019"
"79.99","1","00000012916","75165888100014","PAYPLUG.COM","6FCB0E0B9577A59236849420443224EF","03","2019"
